date,time,lat,lng
2017-07-18,16253,21.1854758,105.7759789
2017-07-18,16273,21.1854758,105.7759789
2017-07-18,16293,21.1854758,105.7759789
2017-07-18,16313,21.1854088,105.7760687
2017-07-18,16333,21.1854088,105.7760687
2017-07-18,16353,21.1854088,105.7760687
2017-07-18,16373,21.1854088,105.7760687
2017-07-18,16393,21.1854088,105.7760687
2017-07-18,16413,21.1854088,105.7760687
2017-07-18,16433,21.1854088,105.7760687
2017-07-18,16453,21.1854088,105.7760687
2017-07-18,16473,21.1854088,105.7760687
2017-07-18,16493,21.1854088,105.7760687
2017-07-18,16513,21.1854088,105.7760687
2017-07-18,16533,21.1856457,105.776064
2017-07-18,16553,21.1839655,105.7759447
2017-07-18,16573,21.1819149,105.7759927
2017-07-18,16593,21.1818467,105.7784362
2017-07-18,16613,21.1817945,105.7801437
2017-07-18,16633,21.1817258,105.7807579
2017-07-18,16653,21.1827222,105.7810911
2017-07-18,16673,21.1835673,105.7813206
2017-07-18,16693,21.1842571,105.7804339
2017-07-18,16713,21.1866582,105.7805185
2017-07-18,16733,21.190903,105.780616
2017-07-18,16753,21.194179,105.7807205
2017-07-18,16773,21.1967358,105.7805727
2017-07-18,16793,21.2013192,105.7800957
2017-07-18,16813,21.2033301,105.7799742
2017-07-18,16833,21.2046346,105.7801414
2017-07-18,16853,21.2046629,105.7837117
2017-07-18,16873,21.2044871,105.7861789
2017-07-18,16893,21.2018124,105.789972
2017-07-18,16913,21.1997981,105.7928331
2017-07-18,16933,21.1970395,105.7970186
2017-07-18,16953,21.1954746,105.8005327
2017-07-18,16973,21.1943482,105.8051541
2017-07-18,16993,21.1940508,105.8087917
2017-07-18,17013,21.1941238,105.8136182
2017-07-18,17033,21.1942671,105.81828
2017-07-18,17053,21.1943907,105.8222118
2017-07-18,17073,21.1950113,105.8259694
2017-07-18,17093,21.196982,105.8302288
2017-07-18,17113,21.1994747,105.833004
2017-07-18,17133,21.2034547,105.8357906
2017-07-18,17153,21.2065949,105.8387983
2017-07-18,17173,21.2088144,105.8420696
2017-07-18,17193,21.2099381,105.8445484
2017-07-18,17213,21.2110716,105.8485442
2017-07-18,17233,21.2113976,105.8521112
2017-07-18,17253,21.211142,105.8558057
2017-07-18,17273,21.2107307,105.8603489
2017-07-18,17293,21.2107628,105.8637731
2017-07-18,17313,21.2114908,105.8677148
2017-07-18,17333,21.2132818,105.871998
2017-07-18,17353,21.2147804,105.8748292
2017-07-18,17373,21.2161692,105.8788144
2017-07-18,17393,21.2166819,105.8820012
2017-07-18,17413,21.2165674,105.8862817
2017-07-18,17433,21.2158964,105.8895821
2017-07-18,17453,21.214703,105.8939961
2017-07-18,17473,21.2139296,105.8969249
2017-07-18,17493,21.2128014,105.9012605
2017-07-18,17513,21.2122137,105.9048228
2017-07-18,17533,21.2121646,105.9090801
2017-07-18,17553,21.2122551,105.9122456
2017-07-18,17574,21.2121342,105.9161735
2017-07-18,17594,21.2120316,105.9204089
2017-07-18,17614,21.2119435,105.9236811
2017-07-18,17634,21.2114991,105.9280068
2017-07-18,17654,21.2106567,105.9310852
2017-07-18,17674,21.2089951,105.9331299
2017-07-18,17694,21.2062969,105.9333579
2017-07-18,17714,21.205595,105.9318187
2017-07-18,17734,21.2088969,105.9314417
2017-07-18,17754,21.2131202,105.9315301
2017-07-18,17774,21.2166599,105.9315789
2017-07-18,17794,21.2220303,105.9307805
2017-07-18,17814,21.2258496,105.9295447
2017-07-18,17834,21.2302874,105.9280788
2017-07-18,17854,21.2350118,105.9265318
2017-07-18,17874,21.238706,105.925342
2017-07-18,17893,21.2423294,105.9241488
2017-07-18,17913,21.2465768,105.9219807
2017-07-18,17934,21.250525,105.9183214
2017-07-18,17954,21.2527196,105.915307
2017-07-18,17974,21.2558165,105.910946
2017-07-18,17994,21.2585197,105.9071297
2017-07-18,18014,21.2604024,105.9045006
2017-07-18,18034,21.263147,105.9006734
2017-07-18,18054,21.2658895,105.8969309
2017-07-18,18074,21.2683008,105.8942303
2017-07-18,18094,21.272142,105.8910924
2017-07-18,18114,21.2762938,105.8888226
2017-07-18,18134,21.2795677,105.8876833
2017-07-18,18154,21.2838504,105.8865574
2017-07-18,18174,21.2870961,105.8857033
2017-07-18,18194,21.2915771,105.884531
2017-07-18,18214,21.2950385,105.8836446
2017-07-18,18234,21.2992547,105.8825313
2017-07-18,18254,21.3038752,105.8813281
2017-07-18,18274,21.3085542,105.8801402
2017-07-18,18294,21.3123459,105.8791012
2017-07-18,18314,21.3175792,105.8778895
2017-07-18,18334,21.3217803,105.8774725
2017-07-18,18354,21.3269434,105.8775064
2017-07-18,18374,21.3307516,105.8775811
2017-07-18,18394,21.3347984,105.8776828
2017-07-18,18414,21.3395779,105.8782049
2017-07-18,18434,21.3444232,105.8793616
2017-07-18,18454,21.3480539,105.8807091
2017-07-18,18474,21.352822,105.8831097
2017-07-18,18494,21.3560956,105.8849931
2017-07-18,18514,21.3605019,105.8875183
2017-07-18,18534,21.3638852,105.8894251
2017-07-18,18554,21.3684787,105.8908305
2017-07-18,18574,21.3719825,105.8907253
2017-07-18,18594,21.3766925,105.8892696
2017-07-18,18614,21.3805536,105.8878892
2017-07-18,18634,21.3855618,105.8871987
2017-07-18,18654,21.3892959,105.8877362
2017-07-18,18674,21.3942929,105.8885548
2017-07-18,18694,21.3981156,105.8890642
2017-07-18,18714,21.4029385,105.8886352
2017-07-18,18734,21.408186,105.8877937
2017-07-18,18754,21.4118039,105.8880717
2017-07-18,18774,21.4168207,105.8887911
2017-07-18,18794,21.4204093,105.8892998
2017-07-18,18814,21.4249034,105.8896405
2017-07-18,18834,21.4293907,105.889305
2017-07-18,18854,21.4309608,105.8894933
2017-07-18,18874,21.4310375,105.8909408
2017-07-18,18914,21.4310795,105.8961583
2017-07-18,18934,21.4310895,105.8989699
2017-07-18,18954,21.4310558,105.900134
2017-07-18,18974,21.4290516,105.9003414
